title,price,rating_out_of_5,stock_status,book_url,category,upc,price_ex_tax,price_in_tax,tax,availability,no_of_reviews,description,rating,description_length,in_stock,price_band,sentiment
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Default,0312262ecafa5a40,13.99,13.99,0.0,In stock (19 available),0,"Since her assault, Miss Annette Chetwynd has been plagued by nightmares and worries about an arranged marriage. But she yearns to find her anonymous rescuer. Unfortunately, her health and intellect pr",2,200,True,Mid (£10-20),Negative
Shakespeare's Sonnets,20.66,4,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Poetry,30a7f60cd76ca58c,20.66,20.66,0.0,In stock (19 available),0,"This book is an important and complete collection of the Sonnets of William Shakespeare. Most readers are aware of the great plays and manuscripts written for the stage, but are unaware of the magnifi",4,200,True,Premium (£20-30),Positive
Set Me Free,17.46,5,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Young Adult,ce6396b0f23f6ecc,17.46,17.46,0.0,In stock (19 available),0,"Aaron Ledbetterâs future had been planned out for him since before he was born. Each year, the Ledbetter family vacation on Tybee Island gave Aaron a chance to briefly free himself from his familyâ",5,200,True,Mid (£10-20),Positive
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art,3b1c02bac2a429e6,52.29,52.29,0.0,In stock (19 available),0,"Scott Pilgrim's life is totally sweet. He's 23 years old, he's in a rockband, he's ""between jobs"" and he's dating a cute high school girl. Nothing could possibly go wrong, unless a seriously mind-blow",5,200,True,Luxury (£30+),Neutral
Rip it Up and Start Again,35.02,5,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Music,a34ba96d4081e6a4,35.02,35.02,0.0,In stock (19 available),0,"Punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. RIP IT UP AND START AGAIN is a celebration of what happened next.Post-punk bands like PiL, Joy ",5,200,True,Luxury (£30+),Positive
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Music,deda3e61b9514b83,57.25,57.25,0.0,In stock (19 available),0,"This is the never-before-told story of the musical revolution that happened right under the nose of the Reagan Eighties--when a small but sprawling network of bands, labels, fanzines, radio stations, ",3,200,True,Luxury (£30+),Neutral
Olio,23.88,1,In stock,https://books.toscrape.com/catalogue/olio_984/index.html,Poetry,feb7cc7701ecf901,23.88,23.88,0.0,In stock (19 available),0,"Part fact, part fiction, Tyehimba Jess's much anticipated second book weaves sonnet, song, and narrative to examine the lives of mostly unrecorded African American performers directly before and after",1,200,True,Premium (£20-30),Positive
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Science Fiction,e30f54cea9b38190,37.59,37.59,0.0,In stock (19 available),0,"Andrew Barger, award-winning author and engineer, has extensively researched forgotten journals and magazines of the early 19th century to locate groundbreaking science fiction short stories in the En",1,200,True,Luxury (£30+),Neutral
Libertarianism for Beginners,51.33,2,In stock,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Politics,a18a4f574854aced,51.33,51.33,0.0,In stock (19 available),0,"Libertarianism isn't about winning elections; it is first and foremost a political philosophy--a description of how, in the opinion of libertarians, free people ought to treat one another, at least wh",2,200,True,Luxury (£30+),Positive
It's Only the Himalayas,45.17,2,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Travel,a22124811bfa8350,45.17,45.17,0.0,In stock (19 available),0,"âWherever you go, whatever you do, just . . . donât do anything stupid.â âMy MotherDuring her yearlong adventure backpacking from South Africa to Singapore, S. Bedford definitely did a few thi",2,200,True,Luxury (£30+),Neutral
In Her Wake,12.84,1,In stock,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,Thriller,23356462d1320d61,12.84,12.84,0.0,In stock (19 available),0,A perfect life â¦ until she discovered it wasnât her own.A tragic family event reveals devastating news that rips apart Bellaâs comfortable existence. Embarking on a personal journey to uncover t,1,200,True,Mid (£10-20),Neutral
How Music Works,37.32,2,In stock,https://books.toscrape.com/catalogue/how-music-works_979/index.html,Music,327f68a59745c102,37.32,37.32,0.0,In stock (19 available),0,"How Music Works is David Byrneâs remarkable and buoyant celebration of a subject he has spent a lifetime thinking about. In it he explores how profoundly music is shaped by its time and place, and h",2,200,True,Luxury (£30+),Positive
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Food and Drink,5674a18a29a43ced,30.52,30.52,0.0,In stock (19 available),0,Canning perfected the Americaâs Test Kitchen way. The art of preserving produce by canning and preserving has come full circle from grandmother's kitchen to a whole new generation now eager to learn,3,200,True,Luxury (£30+),Positive
Chase Me (Paris Nights #2),25.27,5,In stock,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Romance,c2e46a2ee3b4a322,25.27,25.27,0.0,In stock (19 available),0,"A Michelin two-star chef at twenty-eight, Violette Lenoir could handle anything, including a cocky burglar who broke into her restaurant in the middle of the night.Or so she thought.Elite counterterro",5,200,True,Premium (£20-30),Neutral
Black Dust,34.53,5,In stock,https://books.toscrape.com/catalogue/black-dust_976/index.html,Romance,00bfed9e18bb36f3,34.53,34.53,0.0,In stock (19 available),0,"No matter how busy he keeps himself, successful Broadway musician Tobias Spence canât outrun the memory of a tragic car crash from his past that claimed a friendâs life and permanently injured his",5,200,True,Luxury (£30+),Neutral
Birdsong: A Story in Pictures,54.64,3,In stock,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Childrens,9528d0948525bf5f,54.64,54.64,0.0,In stock (19 available),0,"Bring the thrilling story of one red bird to life. When an innocent bird meets two cruel kids, their world is forever changed. But exactly how that change unfolds is up to you, in the tradition of Kam",3,200,True,Luxury (£30+),Neutral
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Default,c7d160c2c0de586f,22.5,22.5,0.0,In stock (19 available),0,"Any fan of the Baltimore Colts of my era, any fan of my friend and teammate Johnny Unitas, or, for that matter, any fan of football in general should enjoy Wayne Stewart's book. It contains great stor",3,200,True,Premium (£20-30),Positive
Aladdin and His Wonderful Lamp,53.13,3,In stock,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Default,904208d6aa64b655,53.13,53.13,0.0,In stock (19 available),0,"Planning on seeing Aladdin the Disney musical? Read the classic story of ""Aladdin and his Wonderful Lamp"" in this sparkling new edition by Harpendore. Synopsis: Aladdin is a poor boy who lives with hi",3,200,True,Luxury (£30+),Positive
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Nonfiction,4c28def39d850cdf,40.3,40.3,0.0,In stock (18 available),0,"Anti-apartheid activist, Bollywood screenwriter, Nazi pin-up, hero of the Wild West: this is Shakespeare as you have never seen him before.From the sixteenth-century Baltic to the American Revolution,",5,200,True,Luxury (£30+),Neutral
Wall and Piece,44.18,4,In stock,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Art,ccd9ffa25efabdea,44.18,44.18,0.0,In stock (18 available),0,"Banksy, Britain's now-legendary ""guerilla"" street artist, has painted the walls, streets, and bridges of towns and cities throughout the world. Not only did he smuggle his pieces into four of New York",4,200,True,Luxury (£30+),Neutral
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Spirituality,6258a1f6a6dcfe50,17.66,17.66,0.0,In stock (18 available),0,"In The Four Agreements, don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom, the Four Agreements offer a powerf",5,200,True,Mid (£10-20),Positive
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Nonfiction,3c039985229453bf,31.05,31.05,0.0,In stock (18 available),0,"Are you and your spouse speaking the same language? While love is a many splendored thing, it is sometimes a very confusing thing, too. And as people come in all varieties, shapes, and sizes, so do th",3,200,True,Luxury (£30+),Positive
The Elephant Tree,23.82,5,In stock,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,Thriller,5dada2b7be26bd03,23.82,23.82,0.0,In stock (18 available),0,Mark Fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclubs. Scott is a dejected 24 year old struggling to make ends meet working for his,5,200,True,Premium (£20-30),Positive
The Bear and the Piano,36.89,1,In stock,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,Childrens,9f6568e9c95f60b0,36.89,36.89,0.0,In stock (18 available),0,"One day, a young bear stumbles upon something he has never seen before in the forest. As time passes, he teaches himself how to play the strange instrument, and eventually the beautiful sounds are hea",1,200,True,Luxury (£30+),Positive
Sophie's World,15.94,5,In stock,https://books.toscrape.com/catalogue/sophies-world_966/index.html,Philosophy,6be3beb0793a53e7,15.94,15.94,0.0,In stock (18 available),0,"A page-turning novel that is also an exploration of the great philosophical concepts of Western thought, Sophieâs World has fired the imagination of readers all over the world, with more than twenty",5,200,True,Mid (£10-20),Positive
Penny Maybe,33.29,3,In stock,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,Default,668fe56b17cfcd4f,33.29,33.29,0.0,In stock (18 available),0,"Sent to yet another foster family, Penny decides that the way to claim a sense of self is to swim Lake Ontario. Although this seems impossible, she finds the courage to ask her physics teacher to be h",3,200,True,Luxury (£30+),Negative
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Default,094b269567e1c300,18.02,18.02,0.0,In stock (18 available),0,"This new edition of Maude (1883-1993) has been updated by Mardo Williamsâ daughters, adding historical details their dad wished to make, twice as many photos, and nine appendices not present in the ",2,200,True,Mid (£10-20),Positive
"In a Dark, Dark Wood",19.63,1,In stock,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Mystery,19ed25f4641d5efd,19.63,19.63,0.0,In stock (18 available),0,"In a dark, dark wood Nora hasn't seen Clare for ten years. Not since Nora walked out of school one day and never went back. There was a dark, dark houseUntil, out of the blue, an invitation to Clareâ",1,200,True,Mid (£10-20),Neutral
Behind Closed Doors,52.22,4,In stock,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Thriller,be5cc846f45496fb,52.22,52.22,0.0,In stock (18 available),0,"The 2016 debut bloggers can't stop raving about. Perfect for fans of The Girl on the Train and The Ice Twins Everyone knows a couple like Jack and Grace.He has looks and wealth, she has charm and eleg",4,200,True,Luxury (£30+),Positive
You can't bury them all: Poems,33.63,2,In stock,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,Poetry,55f9da0c5eea2e10,33.63,33.63,0.0,In stock (17 available),0,"A poetry that is at once harrowing, angry, and achingly beautiful Patrick Woodcock has spent the past seven years engaging with and being shaped by the people, politics, and landscapes of the Kurdish ",2,200,True,Luxury (£30+),Neutral
Slow States of Collapse: Poems,57.31,3,In stock,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Poetry,b4fd5943413e089a,57.31,57.31,0.0,In stock (17 available),0,"The eagerly anticipated debut from one of Canadaâs most exciting new poets In her debut collection, Ashley-Elizabeth Best explores the cultivation of resilience during uncertain and often trying tim",3,200,True,Luxury (£30+),Positive
Reasons to Stay Alive,26.41,2,In stock,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,Nonfiction,c8f7f0cb1abb9cac,26.41,26.41,0.0,In stock (17 available),0,"I want life. I want to read it and write it and feel it and live it. I want, for as much of the time as possible in this blink-of-an-eye existence we have, to feel all that can be felt. I hate depress",2,200,True,Premium (£20-30),Negative
Private Paris (Private #10),47.61,5,In stock,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,Fiction,b12b89017878a60d,47.61,47.61,0.0,In stock (17 available),0,"Paris is burning--and only Private's Jack Morgan can put out the fire.When Jack Morgan stops by Private's Paris office, he envisions a quick hello during an otherwise relaxing trip filled with fine fo",5,200,True,Luxury (£30+),Positive
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Nonfiction,c27f6e1f185b0383,23.11,23.11,0.0,In stock (17 available),0,"There is a cosmic alarm clock going off around the world! #HigherSelfie's aim is to unite all those waking up spiritually in this digital age. This book is a guide to love, connection, and kickass sur",5,200,True,Premium (£20-30),Positive
Without Borders (Wanderlove #1),45.07,2,In stock,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,New Adult,acddfeab2a407640,45.07,45.07,0.0,In stock (16 available),0,"For Annie London, a month in a Central American rainforest means handing out mosquito nets, giving medical aid, and teaching children about the birds and the bees. With any luck, it will also land her",2,200,True,Luxury (£30+),Neutral
When We Collided,31.77,1,In stock,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,Contemporary,3ecb690d1542c568,31.77,31.77,0.0,In stock (16 available),0,"We are seventeen and shattered and still dancing. We have messy, throbbing hearts, and we are stronger than anyone could ever knowâ¦Jonah never thought a girl like Vivi would come along.Vivi didnât",1,200,True,Luxury (£30+),Negative
"We Love You, Charlie Freeman",50.27,5,In stock,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,Fiction,8d455c7539795d2a,50.27,50.27,0.0,In stock (16 available),0,"The Freeman family--Charles, Laurel, and their daughters, teenage Charlotte and nine-year-old Callie--have been invited to the Toneybee Institute in rural Massachusetts to participate in a research ex",5,200,True,Luxury (£30+),Neutral
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Poetry,657fe5ead67a7767,14.27,14.27,0.0,In stock (16 available),0,"More than thirty-five years ago, when the weather allowed, Wendell Berry began spending his sabbaths outdoors, walking and wandering around familiar territory, seeking a deep intimacy only time could ",4,200,True,Mid (£10-20),Positive
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Nonfiction,d170b5a0da46380e,44.18,44.18,0.0,In stock (16 available),0,It all started with Nathanael Johnsonâs decision to teach his daughter the name of every tree they passed on their walk to day care in San Francisco. This project turned into a quest to discover the,4,200,True,Luxury (£30+),Neutral
Unicorn Tracks,18.78,3,In stock,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,Fantasy,7ae099f3898e0209,18.78,18.78,0.0,In stock (16 available),0,"After a savage attack drives her from her home, sixteen-year-old Mnemba finds a place in her cousin Tumeloâs successful safari business, where she quickly excels as a guide. Surrounding herself with",3,200,True,Mid (£10-20),Positive
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,History,9a9d6e9bc555731e,25.52,25.52,0.0,In stock (16 available),0,"Although we usually think of technology as something unique to modern times, our ancestors began to create the first technologies millions of years ago in the form of prehistoric tools and weapons. Ov",1,200,True,Premium (£20-30),Positive
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art,09555be379ad9253,16.28,16.28,0.0,In stock (16 available),0,"DUAL WORLDS, DUAL SIGHTS In the land of Nirai Kanai, there are two realms, one that is the ""outside"" world, and another that is ""inside"" and hidden from the rest of reality. At the request of the holy",1,200,True,Mid (£10-20),Neutral
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Nonfiction,7858914fad68493c,31.12,31.12,0.0,In stock (16 available),0,"Capital in the Twenty-First Century meets The Second Machine Age in this stunning and optimistic tour de force on the promise and peril of the digital economy, from one of the most brilliant social cr",3,200,True,Luxury (£30+),Positive
This One Summer,19.49,4,In stock,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,Sequential Art,51653ef291ab7ddc,19.49,19.49,0.0,In stock (16 available),0,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this",4,200,True,Mid (£10-20),Positive
Thirst,17.27,5,In stock,https://books.toscrape.com/catalogue/thirst_946/index.html,Fiction,709822d0b5bcb7f4,17.27,17.27,0.0,In stock (16 available),0,"On a searing summer Friday, Eddie Chapman has been stuck for hours in a traffic jam. There are accidents along the highway, but ambulances and police are conspicuously absent. When he decides to aband",5,200,True,Mid (£10-20),Neutral
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,Add a comment,4eed62cf5f8d8edf,19.09,19.09,0.0,In stock (16 available),0,"Andrea Harding is a recent college graduate looking forward to attending Duke Law School when her world is turned upside down by the shooting of her father, Nicholas, and uncle, Michael, in a surprisi",1,200,True,Mid (£10-20),Neutral
The Secret of Dreadwillow Carse,56.13,1,In stock,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,Childrens,b5ea0b5dabed25a8,56.13,56.13,0.0,In stock (16 available),0,A princess and a peasant girl must embark on a dangerous quest to outwit a centuries-old warning foretelling the fall of the Monarchy in this modern fairytale. In the center of the verdant Monarchy li,1,200,True,Luxury (£30+),Negative
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,Food and Drink,142d767a56a9254d,56.41,56.41,0.0,In stock (16 available),0,"THEREâS NO TIME LIKE DINNERTIME!Oh, donât get me wrong. I adore breakfast. I love lunch! But dinnertime definitely tops them all. Itâs the time of day when we reunite with our sweeties, our kids",1,200,True,Luxury (£30+),Neutral
The Past Never Ends,56.5,4,In stock,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Mystery,5ee94540d0749ea0,56.5,56.5,0.0,In stock (16 available),0,"A simple task, Attorney Chester Morgan thinks. Get a copy of a public record for a young man whose only friend has died in an unexplained accidental death. Except... The police file regarding the demi",4,200,True,Luxury (£30+),Neutral
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Young Adult,cedf82b5086e4691,45.22,45.22,0.0,In stock (16 available),0,One class assignment. One second chance at love. The school player is all in. Now he needs to win back the sweet commitment girl who's forever owned his heart. Justin Carter has a secret. He's not the,3,200,True,Luxury (£30+),Positive
